match_type,budget,winner,rounds,blue_hp,red_hp,blue_alive,red_alive,blue_comp,red_comp
Simple_vs_V2,45,BLUE,9,26,0,3,0,KNIGHT+ARCHER+MAGE+ASSASSIN+CLERIC+GUARDIAN+PALADIN+WARLOCK,CLERIC+ARCHER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER
Simple_vs_V2,45,BLUE,9,26,0,3,0,KNIGHT+ARCHER+MAGE+ASSASSIN+CLERIC+GUARDIAN+PALADIN+WARLOCK,CLERIC+ARCHER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER
Simple_vs_V2,45,BLUE,9,26,0,3,0,KNIGHT+ARCHER+MAGE+ASSASSIN+CLERIC+GUARDIAN+PALADIN+WARLOCK,CLERIC+ARCHER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER
Simple_vs_V2,45,BLUE,9,26,0,3,0,KNIGHT+ARCHER+MAGE+ASSASSIN+CLERIC+GUARDIAN+PALADIN+WARLOCK,CLERIC+ARCHER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER
Simple_vs_V2,45,BLUE,9,26,0,3,0,KNIGHT+ARCHER+MAGE+ASSASSIN+CLERIC+GUARDIAN+PALADIN+WARLOCK,CLERIC+ARCHER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER
Simple_vs_V2,45,BLUE,9,26,0,3,0,KNIGHT+ARCHER+MAGE+ASSASSIN+CLERIC+GUARDIAN+PALADIN+WARLOCK,CLERIC+ARCHER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER
Simple_vs_V2,45,BLUE,9,26,0,3,0,KNIGHT+ARCHER+MAGE+ASSASSIN+CLERIC+GUARDIAN+PALADIN+WARLOCK,CLERIC+ARCHER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER
Simple_vs_V2,45,BLUE,9,26,0,3,0,KNIGHT+ARCHER+MAGE+ASSASSIN+CLERIC+GUARDIAN+PALADIN+WARLOCK,CLERIC+ARCHER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER
Simple_vs_V2,45,BLUE,9,26,0,3,0,KNIGHT+ARCHER+MAGE+ASSASSIN+CLERIC+GUARDIAN+PALADIN+WARLOCK,CLERIC+ARCHER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER
V2_vs_V2,45,BLUE,13,28,0,3,0,CLERIC+ARCHER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER,CLERIC+ARCHER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER
